;;    4
;;    4
;;    4
2    4;     4;2    4
     4;   5 4;   5 4
  9 4; 0  2 4; 0  2 4
     ;    4;    4
   4;     4;   4
     4;  7  84;     4
    44;    4;    44
    444;     4;    444
9    24;    84;9    24
      4;    4;    4
52    4;  8 5 4;52    4
  5  4;7 0 8 2 4;7 0 8 2 4
 0   2 4; 5   4; 0   2 4
 9   84;   4;   4
   4;     4;   4
     4;    44;    44
    44;   444;   444
 58   444;9 7   24; 58   444
9    244;    4;    4
    64;0525    4;0525    4
520    4;7 0 8 72 4;7 0 8 72 4
7 0 78 72 4; 0   22 4;7 0 78 72 4
 0   20 ;   44; 0   20 
   44;  5 4;  5 4
8  4;     44;8  4
    4464;    4444;    4464
  444; 58   444; 58   444
 4568   444;9    ; 4568   444
     4;0525     4;0525     4
0525     4;7  8 72 4;0525     4
7 0 8 72 4;7 0 78 72 4;7 0 8 72 4
77 0 78 72 4; 0   20 ;77 0 78 72 4
 0   20 ;  5  4; 0   20 
  5 4;8   4;  5 4
8 2 44;    4464;8 2 44
    34464; 58   444; 58   444
 558   444; 4568   444; 4568   444
 45698  444;05250     4;05250     4
0525     4;0525      4;0525      4
055253     4;777 0 8 72 4;777 0 8 72 4
7 0 8 72 4;77 0 8 72 4;7 0 8 72 4
77 0 778 72 4; 0    20 ;77 0 778 72 4
 00   20 ;  52 44;  52 44
  5 4;8 02 44;  5 4
8 2 484; 58    4424; 58    4424
 588   444; 4568   444; 4568   444
 44568   4474;05250     4;05250     4
05250     4;0525     4;05250     4
0525      4;777 02 8 2 4;777 02 8 2 4
7 77  0 8 72 4;7 0 8 72 4;7 77  0 8 72 4
7 0 8 772 4;77 0 778 72 4;7 0 8 772 4
777 20 778 72 4;  52 44;777 20 778 72 4
  52  44;  85 4;  52  44
   5 4; 58     44224;   5 4
 58    4424; 4568   9 444; 58    4424
 4568   444;52250     4;52250     4
05250     4;05250      4;05250      4
05250     4;7677 02 8  4;7677 02 8  4
777 02 8 2 4;7 757 2 0 8 72 4;777 02 8 2 4
7 77  07 8 72 4;7 0 8 3772 4;7 77  07 8 72 4
7 0 8 7972 4;777 20 778 782 4;7 0 8 7972 4
777 320 778 72 4; 0  52  44; 0  52  44
  52  44;   5  04;  52  44
   5 4; 458    4424;   5 4
 58    4 4424;52250 8     4;52250 8     4
5225     4;05250      4;5225     4
058250      4;767702 8  4;767702 8  4
7677 02 8  44;777 02 82 2 4;777 02 82 2 4
777 02 8 52 4;77 77  07 8 752 4;777 02 8 52 4
7 877  07 8  72 4;76 0 8 7972 4;7 877  07 8  72 4
7 0 8 7972  4;   522  44;7 0 8 7972  4
 0   52  44;8  52  44; 0   52  44
  52  944;   5 4;  52  944
   5 4;52250 8     4;52250 8     4
52250 8  9   4;5225     4;52250 8  9   4
5225     4; 767702 8  4; 767702 8  4
7667702 8  4;5777 02 82 2 4;7667702 8  4
777 02 82 82 4;777 025 8 52 4;777 02 82 82 4
777 02 8 52 4;7 877  007 8  72 94;777 02 8 52 4
7 877  07 8  72 4;7 0 98 7972  4;7 877  07 8  72 4
7 0 8 79972  4; 00   52  44; 00   52  44
 00   52   44;  52  3944; 00   52   44
  524  944;522850 8      4;522850 8      4
